State Code,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI
12,100,1,1,0,1
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,100,1.125,2,16,3
12,100,1.083333,2,13,3
12,96,1.130435,2,10,3
12,100,1.083333,2,10,3
12,100,1.041667,2,22,3
12,100,1.208333,2,12,3
12,100,0.958333,1,0,1
12,100,1.291667,2,11,3
12,92,1.5,4,23,6
12,100,1.75,3,0,4
12,100,1.166667,2,8,3
12,100,1.041667,2,22,3
12,100,1.291667,2,11,3
12,100,1.791667,4,13,6
12,100,2.083333,4,10,6
12,96,2.608696,5,1,7
12,100,3.791667,14,14,20
12,100,1.833333,5,9,7
12,100,1.791667,5,9,7
12,100,1.083333,2,16,3
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,92,1.590909,4,14,6
12,100,1.625,2,0,3
12,100,1.083333,2,10,3
12,100,1.083333,2,22,3
12,96,1.173913,2,14,3
12,100,1.041667,2,22,3
12,88,2.142857,4,6,6
12,100,2.5,14,13,20
12,100,1.458333,6,14,9
12,100,1,1,0,1
12,100,1.166667,3,10,4
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,92,1.181818,2,12,3
12,100,1.125,2,12,3
12,100,1.625,3,16,4
12,100,1.291667,2,0,3
12,100,1.75,4,11,6
12,100,1,1,0,1
12,100,1,1,0,1
12,92,1.181818,3,22,4
12,100,1.833333,3,6,4
12,100,1.208333,3,22,4
12,100,1.416667,3,12,4
12,100,1.208333,2,0,3
12,100,1.041667,2,22,3
12,92,1.090909,3,22,4
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,100,1.125,3,22,4
12,100,1.25,2,0,3
12,100,1.958333,3,22,4
12,100,1.916667,3,8,4
12,100,1.125,3,22,4
12,92,1.045455,2,22,3
12,100,1.083333,3,22,4
12,100,1.208333,3,22,4
12,100,1.041667,2,22,3
12,100,2.416667,5,16,7
12,100,1,2,22,3
12,100,1.083333,3,22,4
12,100,1.125,2,17,3
12,88,1.047619,2,22,3
12,100,1.083333,2,22,3
12,100,1.041667,2,22,3
12,100,1.208333,3,22,4
12,83,1.05,2,22,3
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,100,1.166667,2,15,3
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,96,1.043478,2,22,3
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,100,1.208333,3,22,4
12,100,1.208333,3,22,4
12,100,1.041667,2,22,3
12,100,1.125,3,22,4
12,88,1.238095,3,22,4
12,100,1.166667,3,22,4
12,100,1.166667,3,22,4
12,100,1.458333,3,22,4
12,100,1.208333,3,22,4
12,100,1.291667,2,12,3
12,100,1.416667,3,22,4
12,92,1.545455,3,11,4
12,100,1.166667,2,9,3
12,100,1.458333,3,14,4
12,100,1.083333,2,10,3
12,100,1.083333,2,22,3
12,100,1.291667,3,22,4
12,100,1.458333,3,22,4
12,92,1.409091,2,3,3
12,100,1.125,3,22,4
12,100,1.083333,3,22,4
12,100,1.041667,2,22,3
12,100,1.25,3,22,4
12,100,1.416667,3,22,4
12,100,1.125,3,22,4
12,96,1.26087,3,22,4
12,100,1.416667,3,22,4
12,100,1.041667,2,22,3
12,100,1.125,3,5,4
12,100,1.041667,2,22,3
12,100,1.083333,3,22,4
12,92,1.045455,2,22,3
12,92,1.363636,4,7,6
12,100,1.166667,2,14,3
12,100,1.125,2,20,3
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,100,1.041667,2,22,3
12,100,1.416667,3,22,4
12,96,1.173913,3,22,4
12,100,1.666667,3,22,4
12,100,2,4,16,6
12,100,1.833333,7,9,10
12,100,1.75,3,22,4
12,100,3.083333,25,11,36
12,100,1.625,10,12,14
12,96,1.043478,2,22,3
12,100,1.166667,2,6,3
12,100,1.125,2,18,3
12,100,1,2,22,3
12,100,0.833333,2,22,3
12,100,0.75,2,23,3
12,100,1.041667,2,22,3
12,100,1.25,3,5,4
12,88,1.047619,3,22,4
12,100,1.416667,3,13,4
12,100,1.25,3,22,4
12,100,1.166667,3,22,4
12,100,1.208333,2,0,3
12,100,1.041667,2,22,3
12,100,1.166667,3,22,4
12,92,1.136364,3,22,4
12,100,1.25,3,22,4
12,100,1.625,4,17,6
12,100,1.208333,2,0,3
12,100,1.291667,3,22,4
12,100,1.041667,2,22,3
12,88,1.238095,3,22,4
12,100,0.958333,3,22,4
12,100,1.166667,3,22,4
12,100,1.083333,3,22,4
12,100,1.125,3,22,4
12,100,1.75,3,8,4
12,100,1.916667,6,14,9
12,96,1.73913,8,14,11
12,100,1.958333,3,9,4
12,100,1.166667,3,22,4
12,100,1.75,4,14,6
12,100,1.416667,3,15,4
12,100,2.333333,6,9,9
12,100,1.375,3,22,4
12,92,1.272727,2,8,3
12,100,2.291667,7,17,10
12,100,1.958333,10,13,14
12,100,0.708333,2,22,3
12,100,2.041667,6,19,9
12,100,2.958333,16,1,23
12,92,0.318182,1,13,1
12,96,1.26087,7,15,10
12,100,1,3,22,4
12,100,1.208333,3,22,4
12,100,1.208333,2,0,3
12,100,0.875,2,9,3
12,100,0.791667,3,22,4
12,96,1.26087,3,22,4
12,100,1.125,3,22,4
12,100,1.416667,3,22,4
12,100,1.291667,3,22,4
12,96,1.304348,3,22,4
12,100,1.333333,3,22,4
12,100,1.375,3,22,4
12,100,1.208333,3,22,4
12,88,1.190476,3,22,4
12,100,1.125,3,22,4
12,100,2.208333,19,12,27
12,100,1.125,3,22,4
12,100,1.375,3,9,4
12,100,1.791667,5,13,7
12,100,2.583333,12,14,17
12,92,1.636364,3,13,4
12,100,2,11,16,16
12,100,1.666667,3,22,4
12,100,1.416667,3,22,4
12,100,1.333333,3,22,4
12,100,1.875,5,13,7
12,100,1.083333,3,22,4
12,88,1.904762,5,15,7
12,100,1.625,3,22,4
12,100,2.916667,11,13,16
12,100,1.708333,4,17,6
12,100,1.416667,3,22,4
12,100,1.125,3,22,4
12,92,1.5,3,8,4
12,100,1.208333,3,22,4
12,92,1.363636,3,22,4
12,100,1.333333,3,22,4
12,100,1.041667,2,22,3
12,100,1.333333,3,16,4
12,100,1.291667,6,13,9
12,100,1.875,7,17,10
12,96,1.26087,3,22,4
12,100,1.833333,7,13,10
12,100,1.958333,5,12,7
12,100,1.333333,4,12,6
12,100,2,8,18,11
12,100,3.125,25,14,36
12,100,1.541667,3,22,4
12,92,1.454545,3,22,4
12,100,1.333333,3,22,4
12,100,1.458333,3,22,4
12,100,1.375,3,16,4
12,100,1.208333,4,15,6
12,100,1.125,3,22,4
12,100,1.083333,3,22,4
12,88,1.095238,2,12,3
12,100,1.333333,4,14,6
12,100,1.083333,2,15,3
12,100,0.958333,3,8,4
12,100,1.208333,3,22,4
12,100,0.833333,2,9,3
12,100,0.958333,3,22,4
12,92,0.909091,1,0,1
12,88,0.666667,3,22,4
12,100,1.083333,3,15,4
12,100,1.166667,4,16,6
12,100,1.625,7,13,10
12,100,1.333333,3,22,4
12,100,0.916667,1,0,1
12,92,0.909091,3,22,4
12,100,1.166667,4,14,6
12,100,0.75,2,22,3
12,100,0.958333,2,14,3
12,100,0.625,1,0,1
12,100,0.416667,1,0,1
12,100,0.75,2,22,3
12,96,0.913043,2,22,3
12,100,0.916667,2,22,3
12,100,0.75,2,22,3
12,100,0.541667,2,22,3
12,100,0.958333,7,15,10
12,100,1.291667,4,11,6
12,100,1.583333,11,10,16
12,88,1.428571,6,14,9
12,100,0.916667,2,10,3
12,100,1.083333,5,14,7
12,100,0.958333,4,12,6
12,100,0.583333,2,10,3
12,100,1.333333,6,11,9
12,92,1.5,5,13,7
12,100,1.625,5,10,7
12,100,1.166667,3,22,4
12,100,1,2,15,3
12,100,0.916667,3,22,4
12,100,1.208333,3,22,4
12,100,1.375,2,8,3
12,100,0.416667,1,0,1
12,88,0.380952,2,4,3
12,100,1.541667,3,22,4
12,100,1.791667,2,0,3
12,100,0.625,2,0,3
12,100,0.791667,3,22,4
12,100,1.75,3,22,4
12,100,1.666667,3,22,4
12,92,6.409091,53,14,72
12,100,1.416667,2,0,3
12,100,1.833333,3,10,4
12,100,1.958333,7,13,10
12,100,1.333333,2,0,3
12,100,1.541667,2,5,3
12,92,1.409091,3,22,4
12,100,1.708333,2,0,3
12,92,1.818182,3,9,4
12,100,2.041667,3,19,4
12,100,2.041667,3,22,4
12,100,1.5,2,0,3
12,100,0.833333,2,12,3
12,100,0.708333,2,22,3
12,96,0.608696,2,22,3
12,100,1,2,22,3
12,100,0.458333,5,22,7
12,100,1.083333,6,2,9
12,100,0.958333,2,22,3
12,100,0.541667,1,0,1
12,100,0.333333,1,1,1
12,83,0.5,2,0,3
12,100,0.916667,2,22,3
12,100,1.291667,3,22,4
12,100,1.5,3,22,4
12,100,1.666667,2,2,3
12,100,0.583333,2,1,3
12,100,1.041667,3,22,4
12,96,1.130435,2,12,3
12,100,1.75,2,0,3
12,100,1.083333,2,0,3
12,100,0.5,2,22,3
12,100,1.208333,2,0,3
12,100,1.083333,2,1,3
12,100,0.583333,2,21,3
12,92,1.227273,2,7,3
12,100,2.125,4,22,6
12,100,1.666667,2,0,3
12,100,1.458333,3,10,4
12,83,1.15,3,22,4
12,100,1.041667,2,0,3
12,100,1.5,3,22,4
12,100,1.708333,3,22,4
12,100,1.5,3,22,4
12,100,0.25,1,1,1
12,100,0.875,2,1,3
12,100,1.833333,3,22,4
12,88,1.952381,3,22,4
12,100,1.708333,2,0,3
12,100,2.041667,3,22,4
12,100,1.708333,3,12,4
12,100,2.083333,3,10,4
12,100,2.041667,3,22,4
12,100,2.083333,4,22,6
12,100,2.041667,3,22,4
12,100,2.041667,3,22,4
12,100,2.458333,4,11,6
12,92,2.045455,3,22,4
12,100,2,2,0,3
12,100,2.041667,3,22,4
12,100,2.041667,3,22,4
12,100,1.916667,3,22,4
12,100,1.125,2,0,3
12,96,0.478261,2,22,3
12,100,0.166667,1,0,1
12,100,0.333333,3,11,4
12,100,0,0,0,0
12,100,0.25,1,14,1
12,100,0,0,0,0
12,100,0.541667,2,2,3
12,100,0.083333,2,2,3
12,100,0.375,1,6,1
12,100,0.458333,2,13,3
12,100,1.5,3,10,4
12,88,0.904762,2,7,3
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,92,0.409091,4,13,6
12,100,0.291667,2,1,3
12,100,0.041667,1,22,1
12,100,0.041667,1,22,1
12,100,1,1,2,
12,100,1.0375,1.3,23,
12,100,1.0375,1.3,23,
12,100,1.0375,1.3,23,
12,100,1.0375,1.3,23,
12,100,1.0375,1.3,23,
12,100,1.1125,1.3,17,
12,100,1.075,1.3,14,
12,88,1.042857,1.3,23,
12,100,1.075,1.3,11,
12,100,1.0375,1.3,23,
12,100,1.2,2,14,
