State Code,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI
12,24,100,0.666667,1,5,1
12,22,92,1.227273,3,11,4
12,24,100,1.625,13,14,19
12,24,100,0.625,1,0,1
12,24,100,0.625,1,2,1
12,24,100,0.208333,1,6,1
12,24,100,1.583333,23,4,33
12,23,96,3.391304,26,11,37
12,24,100,0.333333,1,4,1
12,24,100,0.708333,3,13,4
12,24,100,1.333333,19,10,27
12,24,100,0.416667,4,20,6
12,24,100,0.875,4,14,6
12,24,100,0.541667,1,0,1
12,24,100,0.541667,1,0,1
12,24,100,0.291667,1,4,1
12,24,100,0.583333,1,5,1
12,24,100,0.666667,1,4,1
12,24,100,0.25,1,3,1
12,24,100,0.083333,1,6,1
12,24,100,0.125,1,6,1
12,24,100,2.833333,29,11,41
12,24,100,0.583333,1,0,1
12,24,100,2.041667,17,13,24
12,23,96,0.173913,3,14,4
12,24,100,0.083333,2,11,3
12,24,100,1.291667,10,15,14
12,24,100,0,0,0,0
12,24,100,1.083333,9,11,13
12,24,100,0.083333,1,6,1
12,24,100,0.833333,3,12,4
12,24,100,0.666667,2,6,3
12,24,100,0.416667,1,2,1
12,24,100,0.625,1,1,1
12,24,100,0.458333,1,6,1
12,24,100,0.916667,1,2,1
12,20,83,0.55,2,6,3
12,24,100,0,0,0,0
12,24,100,3.041667,29,13,41
12,24,100,3.208333,34,11,49
12,24,100,0.291667,5,13,7
12,24,100,0,0,0,0
12,24,100,0.666667,6,12,9
12,24,100,0.583333,6,10,9
12,24,100,0,0,0,0
12,8,33,0,0,0,0
12,11,46,0.272727,1,21,1
12,24,100,0.625,2,6,3
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,20,83,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,2,15,14,21
12,24,100,9.458333,78,14,102
12,24,100,2.916667,25,16,36
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,12,50,0,0,0,0
12,15,63,0,0,9,0
12,23,96,0.434783,2,9,3
12,24,100,0.625,4,13,6
12,24,100,2.583333,33,11,47
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,22,92,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0.166667,2,12,3
12,24,100,0.958333,4,14,6
12,24,100,0.5,3,14,4
12,24,100,0.708333,1,2,1
12,24,100,0.458333,2,6,3
12,24,100,0.208333,1,13,1
12,24,100,0.458333,2,7,3
12,24,100,0.375,1,0,1
12,24,100,0.041667,1,7,1
12,24,100,0.166667,1,13,1
12,24,100,1.166667,19,15,27
12,24,100,0.291667,1,5,1
12,23,96,0.26087,1,1,1
12,24,100,0,0,0,0
12,24,100,0.416667,1,6,1
12,24,100,0.708333,1,0,1
12,24,100,0.541667,3,8,4
12,24,100,0.25,1,6,1
12,24,100,0.291667,1,4,1
12,24,100,0,0,0,0
12,24,100,0.125,1,5,1
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,1,10,13,14
12,24,100,2.666667,20,11,29
12,23,96,0.652174,1,0,1
12,24,100,0.083333,1,7,1
12,24,100,0.083333,1,9,1
12,24,100,0.458333,1,6,1
12,24,100,0.333333,1,5,1
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,1.208333,8,14,11
12,24,100,0.791667,6,12,9
12,24,100,0.25,1,0,1
12,22,92,0.045455,1,15,1
12,24,100,0,0,0,0
12,24,100,0.458333,1,5,1
12,23,96,0.826087,2,5,3
12,24,100,0.541667,2,5,3
12,24,100,0.541667,2,4,3
12,24,100,0.625,2,7,3
12,24,100,0.5,1,1,1
12,24,100,0.75,8,10,11
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0.333333,1,6,1
12,24,100,0.208333,1,0,1
12,24,100,0.166667,1,13,1
12,24,100,0.583333,5,7,7
12,21,88,0.285714,4,14,6
12,24,100,2.958333,9,14,13
12,24,100,2,6,0,9
12,24,100,1.541667,4,21,6
12,24,100,1.416667,3,13,4
12,24,100,0.5,2,10,3
12,24,100,0.125,1,7,1
12,24,100,0.5,5,14,7
12,24,100,0.541667,6,11,9
12,24,100,0.791667,4,10,6
12,24,100,0.791667,2,13,3
12,24,100,0.291667,1,9,1
12,20,83,0.8,2,11,3
12,15,63,1.466667,3,21,4
12,23,96,1.347826,6,6,9
12,22,92,1.136364,2,8,3
12,17,71,0.470588,1,1,1
12,24,100,0.75,1,0,1
12,24,100,0.541667,1,7,1
12,24,100,0.5,2,12,3
12,24,100,0.916667,2,10,3
12,24,100,0.833333,2,7,3
12,24,100,0.375,1,7,1
12,24,100,0.166667,1,20,1
12,24,100,0.458333,1,0,1
12,24,100,0.041667,1,20,1
12,24,100,0,0,0,0
12,22,92,0.772727,2,9,3
12,23,96,0.695652,1,0,1
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0.041667,1,7,1
12,8,100,1.275,2.6,2,
12,8,100,0.0375,0.3,5,
12,8,100,0,0,2,
12,8,100,0.2875,1.3,11,
12,7,88,0.785714,2,17,
12,8,100,1.15,2,2,
12,8,100,0,0,2,
12,8,100,0.1625,1,23,
12,6,75,1.133333,2,11,
12,8,100,0.3625,1,2,
12,5,63,0.32,1.3,14,
12,8,100,0.8125,1.6,11,
12,7,88,1.3,2.3,23,
12,8,100,1.3875,2.3,14,
12,8,100,0.975,1.3,8,
12,8,100,1.425,2.3,20,
12,8,100,1.35,2.6,8,
12,8,100,0.0375,0.3,2,
12,8,100,0.1875,0.6,8,
12,8,100,0.1875,0.6,8,
12,6,75,0.633333,1.3,23,
12,8,100,0.9,1,2,
12,8,100,1.65,3.6,11,
12,8,100,2.3,3.6,11,
12,8,100,2.1,4.6,5,
12,6,75,0.15,0.6,20,
12,8,100,0.125,1,20,
12,8,100,0.95,2.3,11,
12,7,88,1.057143,2.3,23,
12,8,100,1.2375,2.3,8,
12,8,100,0.3625,1,11,
12,8,100,0.2,1,23,
12,8,100,1.025,2,8,
12,8,100,0.9375,1.6,23,
12,8,100,0.6125,1.6,8,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0.1875,0.6,8,
12,8,100,0.2,1,11,
12,8,100,1.0125,3.6,14,
12,8,100,0.8625,2.3,8,
12,7,88,0.8,2,8,
12,7,88,0.7,1.3,8,
12,8,100,1.65,5,14,
12,8,100,0.775,1,2,
12,8,100,0.0375,0.3,20,
12,8,100,0.275,1,20,
12,8,100,0.275,1,14,
12,6,75,0.75,2.3,17,
12,7,88,1.214286,2.3,11,
12,8,100,2.8125,6.3,11,
12,8,100,1.075,1.3,8,
12,8,100,1.075,1.6,23,
12,8,100,1.1875,1.6,11,
12,6,75,0.2,0.6,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,4,50,0,0,14,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0.575,4.3,11,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0.075,0.6,14,
12,8,100,0.7,2.3,14,
12,6,75,0.2,0.6,11,
12,7,88,0.042857,0.3,11,
12,8,100,0.1625,1,8,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0.075,0.6,8,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0.25,1,11,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,7,88,0.042857,0.3,14,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0.075,0.6,11,
12,7,88,0,0,2,
12,8,100,0.15,0.6,11,
12,7,88,0.271429,1,8,
12,8,100,3.0125,15.6,14,
12,8,100,0.25,1,11,
12,8,100,0.4125,2.3,14,
12,8,100,0,0,2,
12,8,100,5.275,28.6,14,
12,8,100,0.0375,0.3,17,
12,8,100,0.0375,0.3,11,
12,8,100,0,0,2,
12,7,88,0.185714,1,11,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,7,88,0,0,2,
12,8,100,3.525,14.6,14,
12,8,100,0.075,0.3,8,
12,8,100,0.075,0.6,14,
12,8,100,0.4125,3,11,
12,8,100,0,0,2,
12,8,100,11.525,63.6,17,
12,8,100,0.075,0.6,11,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,1.7375,6,14,
12,7,88,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0.0375,0.3,14,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,5,63,0,0,2,
12,8,100,0.0375,0.3,11,
12,8,100,0.0375,0.3,14,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0.0375,0.3,8,
12,8,100,4.6,23,17,
12,8,100,1.5125,7.6,14,
12,8,100,8.9,50.3,14,
12,8,100,18.45,80.3,14,
12,8,100,17.9875,95,14,
12,8,100,0.8125,3.6,14,
12,7,88,14.7,55.3,17,
12,8,100,5.3125,37.3,14,
12,8,100,0.4875,3.3,14,
12,8,100,0.9375,5.3,14,
12,8,100,7.6875,48.3,14,
12,8,100,1.8625,8,17,
12,8,100,0.4375,1,5,
12,8,100,0.0375,0.3,8,
12,8,100,0,0,2,
12,6,75,0.05,0.3,14,
12,8,100,0.075,0.3,5,
12,8,100,0.075,0.3,5,
12,8,100,0,0,2,
12,8,100,0.4,1.6,20,
12,7,88,0.314286,1.6,14,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,7.6875,26,14,
12,8,100,3.0625,11.6,14,
12,8,100,2.525,18.6,14,
12,8,100,5.7625,28.3,14,
12,8,100,1.475,2.6,14,
12,8,100,6.3125,34.6,11,
12,4,50,0.3,0.6,8,
12,5,63,0.12,0.6,14,
12,8,100,3.825,20.3,14,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,7,88,0,0,2,
12,8,100,0,0,2,
12,8,100,0,0,2,
12,8,100,0.0375,0.3,8,
12,8,100,3.775,18.3,11,
12,8,100,3.275,12,17,
12,8,100,8.9875,28.6,11,
12,8,100,1.975,13.3,17,
12,8,100,14.6875,58.6,14,
12,8,100,4.1875,13.6,11,
12,8,100,0.525,1.6,8,
12,8,100,0,0,2,
12,8,100,0.875,5,11,
12,8,100,4.35,21.3,17,
12,8,100,1.85,7.6,17,
12,8,100,3.7375,20,14,
12,8,100,4.6,23,14,
12,8,100,1.075,1.6,14,
12,8,100,1.125,2,17,
12,8,100,0.225,0.6,2,
12,8,100,0.6625,1,8,
12,7,88,1.128571,1.6,23,
12,8,100,1.625,5,14,
12,8,100,0.6125,1,2,
12,8,100,0.6125,1,5,
12,8,100,0.2,1,8,
12,8,100,1.575,8.6,5,
12,7,88,2.157143,12.6,14,
12,8,100,0.325,1,8,
12,8,100,0.7,2,14,
12,8,100,1.3125,8,11,
12,8,100,0.4,1.3,20,
12,8,100,0.875,2,14,
12,8,100,0.525,1,2,
12,8,100,0.525,1,5,
12,8,100,0.2625,0.6,5,
12,8,100,0.5625,1,11,
12,8,100,0.65,1,8,
12,8,100,0.2375,1,5,
12,8,100,0.075,0.6,8,
12,8,100,0.1125,0.6,23,
12,8,100,2.8,12.6,11,
