State Code,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI
12,100,1.216667,1.3,12,1
12,88,1.180952,1.3,7,1
12,100,1.1,1.1,0,1
12,100,1.108333,1.2,8,1
12,100,1.145833,1.2,9,1
12,100,1.1375,1.2,4,1
12,100,1.15,1.2,1,1
12,100,1.104167,1.2,8,1
12,96,1.108696,1.2,16,1
12,100,1.1,1.1,0,1
12,100,1.1,1.1,0,1
12,100,1.1,1.1,0,1
12,100,1.1,1.1,0,1
12,100,1.1,1.1,0,1
12,83,1.14,1.2,5,1
12,100,1.154167,1.2,0,1
12,100,1.120833,1.2,0,1
12,100,1.1,1.1,0,1
12,100,1.108333,1.2,7,1
12,100,1.1,1.1,0,1
12,63,1.12,1.2,17,1
12,100,1.145833,1.2,2,1
12,100,1.1125,1.2,9,1
12,100,1.1125,1.2,8,1
12,100,1.120833,1.2,17,1
12,100,1.170833,1.3,12,1
12,100,1.175,1.2,0,1
12,100,1.129167,1.2,0,1
12,100,1.120833,1.2,8,1
12,100,1.1125,1.2,0,1
12,100,1.1375,1.2,0,1
12,100,1.1,1.1,0,1
12,100,1.116667,1.2,13,1
12,100,1.1625,1.3,14,1
12,88,1.185714,1.3,0,1
12,100,1.1375,1.2,0,1
12,100,1.104167,1.2,16,1
12,100,1.1,1.1,0,1
12,100,1.104167,1.2,11,1
12,79,1.110526,1.2,3,1
12,63,1.1,1.1,9,1
12,100,1.116667,1.2,15,1
12,100,1.133333,1.2,0,1
12,100,1.1,1.1,0,1
12,100,1.133333,1.2,3,1
12,100,1.133333,1.2,1,1
12,100,1.120833,1.2,14,1
12,100,1.154167,1.2,0,1
12,79,1.121053,1.2,0,1
12,100,1.120833,1.2,6,1
12,100,1.15,1.2,0,1
12,100,1.1,1.1,0,1
12,100,1.120833,1.2,3,1
12,100,1.116667,1.2,16,1
12,100,1.133333,1.2,3,1
12,100,1.158333,1.2,0,1
12,100,1.133333,1.2,5,1
12,100,1.170833,1.3,13,1
12,100,1.225,1.4,14,1
12,100,1.25,1.5,16,1
12,100,1.2,1.2,0,1
12,88,1.2,1.3,15,1
12,88,1.2,1.2,0,1
12,100,1.191667,1.2,0,1
12,100,1.166667,1.2,0,1
12,100,1.191667,1.2,1,1
12,100,1.195833,1.2,0,1
12,100,1.2,1.2,0,1
12,50,1.183333,1.2,0,1
12,29,0.614286,0.7,17,0
12,100,0.616667,0.8,13,0
12,100,0.541667,0.6,9,0
12,100,0.5875,0.6,0,0
12,100,0.670833,0.9,11,0
12,58,0.592857,0.8,6,0
12,71,0.576471,0.6,0,0
12,83,0.57,0.6,3,0
12,83,0.57,0.6,2,0
12,100,0.575,0.6,0,0
12,100,0.583333,0.6,4,0
12,100,0.6,0.6,0,0
12,100,0.5875,0.6,0,0
12,67,0.59375,0.6,0,0
12,100,0.633333,1.1,12,1
12,100,0.608333,0.7,9,0
12,100,0.591667,0.6,0,0
12,100,0.566667,0.6,0,0
12,100,0.6,0.7,13,0
12,100,0.575,0.6,0,0
12,100,0.633333,0.9,15,0
12,92,0.609091,0.7,8,0
12,100,0.641667,0.9,11,0
12,100,0.65,0.7,8,0
12,100,0.616667,0.7,8,0
12,100,0.541667,0.6,9,0
12,100,0.566667,0.6,0,0
12,100,0.604167,0.7,15,0
12,100,0.579167,0.7,11,0
12,100,0.575,0.8,17,0
12,100,0.633333,0.8,6,0
12,100,0.583333,0.6,2,0
12,83,0.625,0.7,12,0
12,100,0.633333,0.7,9,0
12,100,0.745833,1.2,20,1
12,96,0.604348,0.7,0,0
12,100,0.595833,0.6,0,0
12,100,0.5875,0.7,9,0
12,100,0.6125,0.7,9,0
12,100,0.891667,1.9,11,1
12,100,0.670833,0.8,9,0
12,100,0.733333,0.9,15,0
12,100,0.6625,0.7,2,0
12,100,0.625,0.8,9,0
12,100,0.654167,1.1,17,1
12,100,0.6125,0.7,10,0
12,88,0.652381,0.8,14,0
12,100,0.675,0.8,8,0
12,100,0.6,0.6,0,0
12,100,0.604167,0.7,10,0
12,100,0.7125,1,9,1
12,100,0.683333,0.8,8,0
12,100,0.604167,0.7,21,0
12,100,0.641667,0.9,11,0
12,100,0.633333,0.7,10,0
12,100,0.633333,0.9,8,0
12,100,0.7,0.9,22,0
12,100,0.654167,0.8,10,0
12,100,0.679167,0.9,12,0
12,100,0.620833,0.9,2,0
12,83,0.6,0.6,0,0
12,100,0.6625,0.7,9,0
12,100,0.6375,0.7,0,0
12,100,0.629167,0.7,1,0
12,100,0.595833,0.6,0,0
12,100,0.591667,0.6,0,0
12,100,0.675,0.9,19,0
12,100,0.629167,0.8,9,0
12,100,0.616667,0.7,15,0
12,100,0.766667,1.3,10,1
12,92,0.636364,0.8,1,0
12,100,0.625,0.7,11,0
12,100,0.608333,0.7,15,0
12,100,0.6,0.6,0,0
12,100,0.6,0.6,0,0
12,100,0.654167,0.9,13,0
12,100,0.616667,0.7,11,0
12,100,0.633333,0.8,18,0
12,100,0.658333,0.7,9,0
12,100,0.654167,0.8,17,0
12,100,0.666667,0.7,8,0
12,100,0.670833,0.8,9,0
12,100,0.616667,0.7,7,0
12,75,0.616667,0.7,14,0
12,100,0.6,0.6,0,0
12,100,0.629167,0.7,11,0
12,100,0.670833,0.9,15,0
12,100,0.7625,1,15,1
12,100,0.6625,0.7,0,0
12,100,0.6875,0.8,9,0
12,100,0.6625,0.8,9,0
12,100,0.670833,0.7,7,0
12,100,0.658333,0.7,6,0
12,100,0.683333,0.7,2,0
12,100,0.616667,0.7,12,0
12,100,0.633333,0.8,12,0
12,100,0.670833,0.7,7,0
12,88,0.652381,0.8,14,0
12,100,0.629167,0.8,9,0
12,100,0.6375,0.7,10,0
12,100,0.658333,0.7,9,0
12,100,0.658333,0.7,8,0
12,88,0.67619,0.8,9,0
12,100,0.675,0.8,9,0
12,100,0.704167,0.8,8,0
12,100,0.679167,0.8,10,0
12,100,0.704167,0.8,14,0
12,100,0.679167,0.7,0,0
12,100,0.670833,0.7,1,0
12,100,0.670833,0.7,5,0
12,100,0.741667,1.1,14,1
12,100,0.754167,1.1,13,1
12,100,0.770833,1,13,1
12,100,0.754167,0.9,13,0
12,100,0.729167,0.9,20,0
12,100,0.708333,0.8,0,0
12,58,0.514286,0.8,7,0
12,100,0.2125,0.3,6,0
12,100,0.229167,0.3,9,0
12,100,0.270833,0.7,10,0
12,100,0.204167,0.3,11,0
12,100,0.2125,0.3,7,0
12,100,0.208333,0.3,9,0
12,100,0.208333,0.3,7,0
12,100,0.216667,0.3,14,0
12,100,0.241667,0.5,12,0
12,100,0.241667,0.3,7,0
12,100,0.2125,0.3,9,0
12,100,0.204167,0.3,18,0
