State Code,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI
12,100,0.083333,1,12,1
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.625,4,15,6
12,100,2.791667,13,12,19
12,100,0.291667,1,8,1
12,100,0.291667,2,5,3
12,100,0.25,1,7,1
12,92,0.227273,1,7,1
12,100,0.083333,1,14,1
12,100,0.125,1,7,1
12,100,0.125,1,15,1
12,100,0.458333,1,9,1
12,100,0.166667,1,9,1
12,100,1.125,3,10,4
12,100,0.958333,2,11,3
12,100,0.833333,1,4,1
12,100,1.166667,3,9,4
12,100,1.041667,2,20,3
12,100,1,2,4,3
12,100,0.25,1,10,1
12,100,1.708333,6,8,9
12,100,2.125,5,22,7
12,100,1.291667,2,0,3
12,100,1.458333,6,15,9
12,96,0.695652,2,11,3
12,100,0.166667,1,9,1
12,100,0.791667,1,4,1
12,100,0.625,1,4,1
12,100,0.666667,2,7,3
12,100,0.75,1,4,1
12,100,0.25,1,6,1
12,100,0.708333,1,1,1
12,100,0.625,1,6,1
12,100,0.458333,1,7,1
12,100,0.208333,1,9,1
12,96,0.956522,2,13,3
12,100,1.041667,2,7,3
12,100,1,1,0,1
12,100,1.166667,2,8,3
12,100,1.541667,4,19,6
12,100,1.875,4,9,6
12,92,1.181818,3,8,4
12,100,2.333333,13,16,19
12,100,3.666667,16,13,23
12,100,1.166667,2,6,3
12,100,0.666667,1,2,1
12,100,0.791667,1,2,1
12,100,0.708333,1,0,1
12,100,1.791667,9,11,13
12,96,1.173913,10,11,14
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.458333,2,18,3
12,100,2.333333,8,9,11
12,100,0.833333,1,0,1
12,100,1,1,0,1
12,100,0.916667,2,15,3
12,100,1.125,2,0,3
12,100,0.75,1,4,1
12,100,0.708333,1,6,1
12,100,1.166667,3,10,4
12,88,1.238095,2,0,3
12,100,1.083333,2,10,3
12,100,1,1,0,1
12,100,5.083333,44,15,61
12,100,1.083333,5,13,7
12,100,0.375,1,10,1
12,100,0.708333,2,12,3
12,100,0.666667,1,6,1
12,100,1.041667,2,6,3
12,100,1.083333,2,3,3
12,100,0.958333,3,14,4
12,88,0.761905,8,14,11
12,100,0.583333,1,7,1
12,100,0.75,3,12,4
12,100,0.583333,1,10,1
12,100,0.875,2,10,3
12,100,0.583333,1,9,1
12,100,0.666667,1,6,1
12,100,0.958333,2,15,3
12,100,1.625,6,14,9
12,100,3.583333,37,14,52
12,100,2.291667,17,9,24
12,100,0.708333,1,3,1
12,100,1.041667,2,9,3
12,100,1.25,3,9,4
12,96,0.869565,1,0,1
12,100,0.416667,1,8,1
12,100,1.375,18,9,26
12,100,0.791667,1,5,1
12,100,0.833333,1,0,1
12,100,0.666667,1,0,1
12,100,0.333333,1,9,1
12,100,4.291667,33,15,47
12,100,0.833333,1,4,1
12,100,0.875,2,8,3
12,100,0.708333,1,3,1
12,100,0.708333,1,0,1
12,100,0.791667,2,15,3
12,100,0.875,1,1,1
12,96,0.826087,4,11,6
12,100,0.708333,1,4,1
12,100,1.125,2,4,3
12,100,1,1,0,1
12,100,1.208333,2,5,3
12,100,1.083333,2,10,3
12,100,1.416667,3,8,4
12,100,1,1,0,1
12,100,0.958333,1,0,1
12,100,1,1,0,1
12,100,1.166667,3,10,4
12,100,1,1,0,1
12,100,0.958333,2,15,3
12,100,1.208333,2,10,3
12,96,1.73913,18,10,26
12,100,1,1,0,1
12,100,1.125,2,18,3
12,100,1,1,0,1
12,100,1,1,0,1
12,100,1,1,0,1
12,100,1.291667,4,8,6
12,100,1.083333,2,6,3
12,100,1,1,0,1
12,100,1.041667,2,6,3
12,100,1,1,0,1
12,100,0.958333,1,0,1
12,100,1,1,0,1
12,100,1,1,0,1
12,92,0.954545,1,0,1
12,100,0.708333,1,0,1
12,100,0.666667,1,0,1
