State Code,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI
12,100,0.608333,0.7,0,0
12,100,0.625,0.8,15,0
12,100,0.595833,0.6,0,0
12,100,0.591667,0.6,1,0
12,100,0.6,0.7,8,0
12,100,0.720833,0.9,10,0
12,100,0.641667,0.8,10,0
12,100,0.6,0.6,0,0
12,79,0.689474,1.2,15,1
12,100,0.629167,0.7,11,0
12,100,0.683333,1,13,1
12,88,0.633333,0.8,13,0
12,100,0.654167,1,12,1
12,100,0.641667,0.8,13,0
12,100,0.775,1.7,15,1
12,100,0.6875,0.9,10,0
12,100,0.6625,0.7,0,0
12,100,0.6375,0.8,8,0
12,100,0.658333,0.8,11,0
12,100,0.658333,0.8,13,0
12,100,0.616667,0.7,0,0
12,100,0.608333,0.7,16,0
12,92,0.618182,0.7,10,0
12,100,0.608333,0.7,12,0
12,100,0.6,0.6,0,0
12,100,0.6,0.6,0,0
12,100,0.608333,0.7,11,0
12,100,0.604167,0.7,14,0
12,100,0.6,0.6,0,0
12,100,0.595833,0.6,0,0
12,100,0.6,0.6,0,0
12,100,0.608333,0.7,7,0
12,100,0.620833,0.7,7,0
12,88,0.62381,0.7,12,0
12,100,0.6,0.6,0,0
12,100,0.6,0.6,0,0
12,100,0.608333,0.7,11,0
12,100,0.641667,0.8,10,0
12,100,0.6,0.6,0,0
12,92,0.6,0.6,0,0
12,100,0.616667,0.7,12,0
12,100,0.608333,0.7,7,0
12,100,0.6,0.6,0,0
12,100,0.754167,1.3,13,1
12,100,0.670833,0.8,10,0
12,100,0.6375,0.7,10,0
12,100,0.6125,0.7,0,0
12,100,0.608333,0.7,22,0
12,100,0.604167,0.7,0,0
12,100,0.6,0.6,0,0
12,100,0.620833,0.7,12,0
12,100,0.608333,0.7,17,0
12,100,0.6125,0.7,6,0
12,83,0.655,0.8,13,0
12,100,0.725,0.9,16,0
12,96,0.678261,0.7,1,0
12,100,0.845833,1.5,10,1
12,100,0.729167,0.8,9,0
12,100,0.85,1.1,15,1
12,100,0.929167,1.4,15,1
12,100,0.720833,0.8,8,0
12,100,0.854167,1.1,14,1
12,100,0.783333,1,11,1
12,100,0.754167,1,9,1
12,100,0.745833,1,15,1
12,100,0.775,1.1,15,1
12,92,0.8,1.2,11,1
12,100,0.7375,0.9,21,0
12,100,0.733333,0.8,10,0
12,100,0.691667,0.8,22,0
12,100,0.75,1,22,1
12,100,0.791667,1.1,9,1
12,100,0.725,0.8,10,0
12,100,0.7875,1,0,1
12,88,0.728571,1,11,1
12,100,0.704167,0.8,14,0
12,100,0.8,1,9,1
12,100,0.7375,0.8,9,0
12,83,0.755,1,19,1
12,100,0.766667,1,8,1
12,100,0.720833,0.8,17,0
12,100,0.741667,0.9,12,0
12,100,0.695833,0.7,0,0
