State Code,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI
12,79,0,0,4,0
12,96,0.565217,2,9,3
12,96,1.782609,11,14,16
12,96,0.086957,1,7,1
12,83,1,4,23,6
12,96,1.608696,4,2,6
12,96,0,0,0,0
12,96,0,0,0,0
12,96,0.043478,1,23,1
12,96,0.130435,1,7,1
12,92,0.227273,1,18,1
12,96,0.217391,2,21,3
12,100,0.375,1,15,1
12,96,0.565217,3,9,4
12,96,0.130435,1,11,1
12,96,0,0,0,0
12,92,0.045455,1,3,1
12,100,0.083333,1,3,1
12,100,0,0,0,0
12,100,0.041667,1,22,1
12,100,0.041667,1,22,1
12,100,0.291667,3,15,4
12,100,0.041667,1,22,1
12,100,0.875,3,16,4
12,100,0.708333,2,13,3
12,96,0.130435,1,0,1
12,96,0,0,0,0
12,96,0.173913,2,9,3
12,96,0,0,0,0
12,63,0,0,8,
12,88,0.6,1.6,14,
12,88,1.871429,7.3,14,
12,88,0.085714,0.6,8,
12,63,0.84,2.6,20,
12,88,1.728571,3.3,2,
12,88,0,0,2,
12,88,0,0,2,
12,88,0,0,2,
12,88,0.128571,0.6,20,
12,75,0.166667,1,20,
12,88,0.128571,0.6,17,
12,100,0.375,1,17,
12,88,0.6,1.6,11,
12,88,0.128571,0.3,11,
12,88,0,0,2,
12,75,0.05,0.3,5,
12,100,0.075,0.6,5,
12,100,0,0,2,
12,100,0.0375,0.3,23,
12,100,0.0375,0.3,23,
12,100,0.275,1,17,
12,100,0.0375,0.3,23,
12,100,0.85,2.6,20,
12,100,0.7,1.3,14,
12,88,0.128571,0.6,11,
12,88,0,0,2,
12,88,0.185714,1,11,
12,88,0,0,2,
12,100,1.25,6,17,9
12,100,0.25,1,1,1
12,88,0.238095,1,6,1
12,100,1.083333,3,8,4
12,100,0.916667,3,8,4
12,100,0.583333,2,9,3
12,100,0.916667,2,8,3
12,100,1.541667,8,10,11
12,100,0.208333,1,0,1
12,100,0,0,0,0
12,100,0.041667,1,12,1
12,100,0.083333,1,5,1
12,100,0.916667,7,8,10
12,100,0,0,0,0
12,100,0.5,2,16,3
12,100,2.875,29,12,41
12,100,0,0,0,0
12,100,0.458333,3,20,4
12,96,0.130435,1,3,1
12,100,0,0,0,0
12,100,0.083333,1,10,1
12,100,0.041667,1,1,1
12,92,0.681818,3,15,4
12,100,6,58,13,79
12,100,0.583333,3,23,4
12,100,1.333333,5,2,7
12,100,0.041667,1,9,1
12,100,0,0,0,0
12,100,2.5,11,7,16
12,100,0.208333,1,14,1
12,100,0.625,3,23,4
12,100,3.166667,10,7,14
12,96,0.782609,6,3,9
12,100,0.041667,1,15,1
12,100,0,0,0,0
12,100,0.041667,1,8,1
12,100,0.625,2,7,3
12,100,0.833333,2,9,3
12,100,0.416667,1,10,1
12,100,1.708333,10,9,14
12,100,1.208333,3,8,4
12,100,0.666667,3,9,4
12,100,0,0,0,0
12,96,1.086957,3,7,4
12,100,1,4,8,6
12,100,0.666667,6,6,9
12,100,0.291667,2,7,3
12,100,0.125,1,6,1
12,100,0.083333,1,19,1
12,100,0.5,4,9,6
12,100,0.666667,4,12,6
12,100,1.958333,15,16,21
12,100,0.083333,1,7,1
12,100,1.125,11,14,16
12,100,0.208333,2,8,3
12,100,1.041667,8,12,11
12,100,0.041667,1,9,1
12,100,0,0,0,0
12,96,0.608696,3,7,4
12,100,0.333333,2,17,3
12,100,0.916667,8,17,11
12,100,0.333333,1,7,1
12,100,0.166667,1,8,1
12,100,0.125,2,8,3
12,100,0.333333,2,8,3
12,100,0.458333,1,10,1
12,100,0.25,3,8,4
12,92,1.681818,9,8,13
12,100,0.666667,3,14,4
12,100,1.291667,7,6,10
12,100,0,0,0,0
12,100,2.666667,15,16,21
12,100,0.125,1,7,1
12,100,0.166667,2,8,3
12,100,0,0,0,0
12,100,0.666667,6,15,9
12,100,0.333333,1,8,1
12,100,0.625,5,23,7
12,100,0.541667,4,0,6
12,92,0.454545,1,9,1
12,100,0.541667,2,14,3
12,100,0.125,1,8,1
12,100,0.625,1,9,1
12,100,1.583333,3,8,4
12,100,1.25,3,7,4
12,100,0.833333,3,8,4
12,100,0.208333,1,7,1
12,100,0.541667,2,7,3
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.833333,4,8,6
12,100,0.791667,2,17,3
12,92,4.181818,23,15,33
12,88,10.904762,110,16,116
12,100,1.166667,6,17,9
12,100,1.208333,3,7,4
12,100,0.25,1,0,1
12,100,0.708333,2,0,3
12,100,0.416667,2,10,3
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.291667,2,6,3
12,100,1.458333,7,18,10
12,100,0.791667,4,15,6
12,100,0.75,1,4,1
12,100,0.708333,1,5,1
12,100,0.333333,1,5,1
12,96,5.565217,53,16,72
12,100,1.166667,3,17,4
12,100,2.083333,9,14,13
12,100,15.041667,94,14,109
12,100,11.166667,89,13,107
12,100,6.416667,61,11,82
12,100,1.541667,7,14,10
12,100,0.958333,2,9,3
12,100,0.708333,2,8,3
12,100,0.833333,1,0,1
12,100,0.166667,1,1,1
12,100,0.75,2,8,3
12,96,0.347826,1,4,1
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,1.041667,10,12,14
12,100,0.833333,1,3,1
12,100,6.166667,40,14,56
12,100,1.166667,2,9,3
12,100,0.916667,1,1,1
12,92,1.090909,2,8,3
12,100,3.125,11,14,16
12,100,1,2,6,3
12,96,0.608696,1,1,1
12,100,0.875,1,1,1
12,100,1.291667,3,16,4
12,100,7.208333,53,17,72
12,100,1.25,3,18,4
12,100,1.083333,2,13,3
12,100,1.541667,6,9,9
12,100,1.416667,2,8,3
12,100,1,1,0,1
12,100,1.041667,2,17,3
12,100,1.666667,8,12,11
12,100,2.041667,7,15,10
12,100,1.25,2,11,3
12,100,1.208333,2,9,3
12,96,1,1,0,1
12,100,1,1,0,1
12,100,1.416667,6,11,9
12,100,1.125,2,9,3
12,100,1.458333,4,13,6
12,100,1.541667,12,13,17
12,100,1.833333,7,16,10
12,100,1.791667,4,14,6
12,100,1,1,0,1
12,100,1.208333,4,18,6
12,100,2.125,15,11,21
12,100,1.958333,6,11,9
12,100,1,1,0,1
12,100,1,1,0,1
12,100,1,1,0,1
12,100,1.125,3,13,4
12,92,1.363636,2,8,3
12,100,1.666667,8,9,11
12,100,1,1,0,1
12,100,1,1,0,1
12,100,1,1,0,1
12,100,1.125,3,9,4
12,100,1,1,0,1
12,96,1,1,0,1
12,100,1,1,0,1
12,100,1,1,0,1
12,100,1,1,0,1
12,100,1,1,0,1
12,100,2.75,27,12,39
12,100,1.333333,3,5,4
12,100,1,1,0,1
12,100,1,1,0,1
12,100,1,1,0,1
12,100,1,1,0,1
12,100,1,1,0,1
12,100,1,1,0,1
12,88,2.857143,16,15,23
12,100,1,1,0,1
12,100,1.166667,4,10,6
12,100,1,1,0,1
12,100,0.958333,2,19,3
12,100,0.958333,1,0,1
12,100,1,1,0,1
12,100,0.833333,1,0,1
12,100,0.916667,1,0,1
12,100,0.958333,1,0,1
12,100,1,1,0,1
12,100,1,1,0,1
12,100,3.625,26,12,37
12,92,1,1,0,1
12,100,3.375,26,10,37
12,100,4.5,23,11,33
12,100,1.041667,2,9,3
12,100,1.458333,7,11,10
12,100,1,1,0,1
12,100,5.25,38,15,54
12,100,1,1,0,1
12,100,1,1,0,1
12,100,1,1,0,1
12,100,1,1,0,1
12,100,1,1,0,1
12,100,3.625,26,17,37
12,100,1.333333,3,7,4
12,100,1,1,0,1
12,100,0.916667,1,0,1
12,92,3,13,14,19
12,100,5.125,42,12,59
12,100,0.041667,1,0,1
12,100,0,0,0,0
12,96,0,0,0,0
12,100,0,0,0,0
12,100,0.125,2,12,3
12,100,3.208333,27,15,39
12,100,9.291667,88,14,106
12,100,11.958333,91,15,108
12,100,4.166667,51,16,70
12,100,0.125,1,10,1
12,92,0,0,0,0
12,100,0,0,0,0
12,100,0.708333,7,10,10
12,100,0.125,1,9,1
12,100,1.458333,14,8,20
12,100,0.208333,4,12,6
12,100,0,0,0,0
12,100,0.333333,2,15,3
12,100,2.833333,30,14,43
12,100,0.416667,2,7,3
12,100,1.625,28,13,40
12,100,1.25,11,17,16
12,100,2.208333,29,11,41
12,100,0.083333,1,8,1
12,33,0.125,1,7,1
12,33,0,0,16,0
12,100,0.041667,1,12,1
12,100,0.125,2,11,3
12,100,0.208333,2,11,3
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.375,1,0,1
12,100,4.75,28,14,40
12,100,0.25,1,2,1
12,100,0.041667,1,6,1
12,100,0,0,0,0
12,33,3.625,16,16,23
12,100,0.041667,1,10,1
12,100,0,0,0,0
12,100,0.041667,1,6,1
12,100,0,0,0,0
12,100,0.166667,1,6,1
12,100,0.208333,1,5,1
12,100,0.041667,1,8,1
12,100,0.041667,1,6,1
12,100,0,0,0,0
12,100,0.083333,1,6,1
12,100,0.083333,1,10,1
12,100,7.833333,47,15,65
12,96,2.695652,26,13,37
12,100,0,0,0,0
12,100,0.125,1,11,1
12,100,0.458333,3,10,4
12,88,0.047619,1,5,1
12,100,0,0,0,0
12,96,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.083333,1,6,1
12,100,0.083333,1,13,1
12,100,0.083333,1,10,1
12,88,0.047619,1,9,1
12,100,0.291667,1,8,1
12,100,0.083333,1,6,1
12,100,0.208333,1,12,1
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.041667,1,9,1
12,100,0.708333,4,13,6
12,100,4.083333,27,12,39
12,100,6.916667,40,10,56
12,100,1.375,14,12,20
12,100,0.083333,1,5,1
12,100,5.916667,44,11,61
12,100,0.208333,1,9,1
12,96,0.391304,2,11,3
12,100,0.458333,2,7,3
12,100,0.208333,2,8,3
12,100,3.291667,15,11,21
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.083333,1,7,1
12,100,0,0,0,0
12,100,0.166667,1,7,1
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,96,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.25,1,6,1
12,100,0.583333,2,7,3
12,100,0.166667,1,7,1
12,100,0.166667,1,13,1
12,100,0.25,2,11,3
12,100,1.166667,10,12,14
12,100,0.458333,5,12,7
12,100,0,0,0,0
12,100,0.291667,1,10,1
12,100,0.458333,2,9,3
12,100,1.333333,4,15,6
12,100,0.833333,2,10,3
12,96,1.652174,6,17,9
12,100,1.208333,4,9,6
12,100,1.166667,4,9,6
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,2.958333,15,15,21
12,100,0.291667,2,8,3
12,100,0,0,0,0
12,100,0.041667,1,9,1
12,92,0.045455,1,10,1
12,100,0,0,0,0
12,100,0.208333,1,5,1
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.166667,1,20,1
12,100,0.083333,1,6,1
12,100,0,0,0,0
12,100,0,0,0,0
12,96,0.043478,1,11,1
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.208333,1,9,1
12,100,0.125,1,7,1
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,1.225,3.3,17,
12,100,0.225,0.6,20,
12,88,0.214286,0.6,8,
12,100,1.0625,2.3,11,
12,100,0.9,2.3,11,
12,100,0.5625,2,11,
12,100,0.9125,2,11,
12,100,1.5125,6.3,11,
12,100,0.1875,0.6,2,
12,100,0,0,2,
12,100,0.0375,0.3,14,
12,100,0.075,0.3,5,
12,100,0.9,3.3,8,
12,100,0,0,2,
12,100,0.4875,1,17,
12,100,2.8625,13,14,
12,100,0,0,2,
12,100,0.45,2,23,
12,88,0.128571,0.6,5,
12,100,0,0,2,
12,100,0.075,0.3,11,
12,100,0.0375,0.3,2,
12,88,0.614286,2,17,
12,100,5.975,39.3,14,
12,100,0.5625,1.6,23,
12,100,1.3125,3.3,2,
12,100,0.0375,0.3,11,
12,100,0,0,2,
12,100,2.475,10,8,
12,100,0.2,1,17,
12,100,0.6125,2,23,
12,100,3.1375,9.3,8,
12,88,0.8,4,5,
12,100,0.0375,0.3,17,
12,100,0,0,2,
12,100,0.0375,0.3,8,
12,100,0.6,1.6,8,
12,100,0.8125,1.6,11,
12,100,0.4,1,17,
12,100,1.6875,5.3,11,
12,100,1.2,2,8,
12,100,0.65,1.6,11,
12,100,0,0,2,
12,88,0.928571,2,8,
12,100,0.9875,2.3,8,
12,100,0.65,3.6,8,
12,100,0.275,1.6,8,
12,100,0.125,1,8,
12,100,0.075,0.6,20,
12,100,0.4875,3.3,11,
12,100,0.65,3,14,
12,100,1.925,8.6,17,
12,100,0.075,0.6,8,
12,100,1.1125,7,14,
12,100,0.2,1,11,
12,100,1.0375,6,14,
12,100,0.0375,0.3,11,
12,100,0,0,2,
12,88,0.6,2.3,8,
12,100,0.3125,1,20,
12,100,0.875,3.3,17,
12,100,0.3125,1,11,
12,100,0.1625,1,11,
12,100,0.1125,0.6,8,
12,100,0.325,1.3,8,
12,100,0.45,1,14,
12,100,0.2375,1.3,8,
12,75,1.1,6,8,
12,100,0.65,2.3,14,
12,100,1.275,4.3,8,
12,100,0,0,2,
12,100,2.6375,12.6,17,
12,100,0.1125,0.6,8,
12,100,0.1625,1,8,
12,100,0,0,2,
12,100,0.65,3.6,17,
12,100,0.3125,1,11,
12,100,0.6,2.3,23,
12,100,0.525,1.6,2,
12,88,0.428571,1,11,
12,100,0.5375,1.3,14,
12,100,0.1125,0.6,11,
12,100,0.625,1,11,
