State Code,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour
12,24,100,0.291667,2,10
12,24,100,0.25,3,16
12,24,100,4.75,36,9
12,24,100,3.833333,29,11
12,24,100,3.083333,38,14
12,24,100,0.125,1,5
12,24,100,0.458333,3,14
12,24,100,4.041667,27,14
12,24,100,2.666667,34,10
12,24,100,1.875,18,11
12,24,100,0.083333,1,8
12,22,92,0.045455,1,12
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0.083333,1,5
12,24,100,0.041667,1,6
12,24,100,0,0,0
12,24,100,0.416667,2,6
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0.083333,1,5
12,23,96,0.173913,2,11
12,24,100,0.125,1,8
12,24,100,0,0,0
12,24,100,0.125,1,8
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0.041667,1,9
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0.208333,3,17
12,24,100,0.541667,4,9
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,23,96,3.173913,30,11
12,24,100,1.041667,8,16
12,24,100,0.333333,3,9
12,24,100,0.25,1,6
12,24,100,0.125,1,10
12,24,100,1.166667,11,12
12,24,100,0.125,1,6
12,24,100,0.875,8,10
12,24,100,0.166667,1,6
12,24,100,0,0,0
12,24,100,0.041667,1,6
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,23,96,0.043478,1,11
12,24,100,0.083333,1,6
12,24,100,0.208333,1,6
12,24,100,0.083333,1,6
12,24,100,2.541667,25,12
12,24,100,10.083333,88,14
12,24,100,1.25,13,12
12,24,100,0.625,2,9
12,24,100,0.333333,2,10
12,24,100,0.416667,2,7
12,24,100,0.166667,1,20
12,24,100,0.25,1,10
12,24,100,0.083333,1,10
12,24,100,0.083333,1,6
12,24,100,0.333333,1,6
12,23,96,0.826087,3,10
12,24,100,0.5,1,5
12,24,100,0.541667,2,6
12,24,100,0,0,0
12,24,100,0,0,0
12,21,88,0.809524,5,9
12,24,100,0.041667,1,13
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,22,92,0,0,0
12,24,100,0,0,0
12,24,100,0.208333,1,17
12,24,100,0.041667,1,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0.291667,2,11
12,19,79,0.210526,2,15
12,24,100,0.125,1,10
12,24,100,0.041667,1,7
12,24,100,0,0,0
12,24,100,1.041667,7,12
12,24,100,3.25,20,13
12,24,100,0.583333,2,6
12,24,100,0.625,7,15
12,24,100,0.291667,1,4
12,23,96,0.217391,1,11
12,22,92,0.181818,1,11
12,24,100,0.416667,2,10
12,23,96,0.521739,2,10
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,1.25,6,15
12,24,100,0,0,0
12,14,58,0.928571,2,11
12,22,92,1,7,14
12,24,100,0.708333,3,8
12,24,100,0.208333,1,17
12,24,100,0.5,2,23
12,16,67,0.6875,2,0
12,24,100,0.958333,5,9
12,24,100,0.041667,1,0
12,24,100,0.041667,1,8
12,23,96,0.043478,1,11
12,24,100,0,0,0
12,20,83,1.35,3,11
12,13,54,1.384615,2,11
12,9,38,1.111111,2,14
12,13,54,0.923077,2,11
12,23,96,0.73913,4,11
12,24,100,1.125,2,7
12,24,100,1.041667,3,7
12,23,96,0.130435,1,12
12,24,100,0.458333,1,0
12,24,100,0.291667,1,7
12,24,100,0.041667,1,1
12,24,100,0.375,2,10
12,24,100,0.625,2,7
12,24,100,1.75,4,10
12,8,100,0,0,2
12,6,75,0.266667,1,8
12,8,100,0,0,2
12,5,63,0.4,1,17
12,4,50,0.475,1.3,14
12,7,88,1.828571,4,11
12,4,50,0.9,2.3,14
12,5,63,2.38,4.3,17
12,5,63,0.58,1.6,14
12,6,75,0.75,1.6,14
12,8,100,0.1625,1,14
12,8,100,0.725,3.6,11
12,6,75,0,0,2
12,8,100,0,0,2
12,4,50,1.3,3,17
12,6,75,0.816667,3,11
12,7,88,0.214286,0.6,11
12,4,50,0.5,2,11
12,3,38,1.533333,2,17
12,5,63,2.5,5,14
12,5,63,1.7,3.6,14
12,6,75,1.366667,2.6,11
12,7,88,0.414286,1,17
12,4,50,1.575,3,11
12,4,50,0.325,1.3,14
12,8,100,0.1125,0.6,11
12,2,25,0,0,2
12,3,38,0.766667,1.3,17
12,8,100,0,0,2
12,7,88,0.171429,0.6,8
12,8,100,0.55,1.6,11
12,8,100,0.4,1.3,14
12,8,100,1.3875,5,17
12,8,100,0.85,3.3,11
12,8,100,0.1125,0.6,8
12,8,100,0,0,2
12,8,100,0.3625,2.3,17
12,8,100,0.3625,1,14
12,8,100,0,0,2
12,8,100,0.1625,1,11
12,7,88,0.228571,1,17
12,8,100,0.525,2.6,11
12,8,100,0.775,2.3,23
12,8,100,2.75,10,2
12,8,100,0.2,1.3,11
12,8,100,1.55,4.6,11
12,8,100,0,0,2
12,8,100,0.2,1,14
12,8,100,0.2,1,14
12,8,100,0.2375,1,8
12,8,100,3.3125,21.3,14
12,8,100,0,0,2
12,8,100,0.2,1,14
12,8,100,0.1125,0.6,14
12,8,100,0,0,2
12,7,88,0,0,2
12,8,100,0,0,2
12,8,100,0.2,1,17
12,8,100,0.275,1.6,14
12,8,100,0,0,2
12,8,100,0.2875,1,14
12,4,50,0,0,2
12,3,38,0.433333,1,20
12,8,100,0.6,2.6,17
12,8,100,0,0,2
12,8,100,0.2625,0.6,17
12,8,100,0,0,2
12,7,88,0.371429,1,14
12,2,25,0,0,20
12,6,75,0,0,2
12,7,88,2.742857,10,17
12,8,100,0.2375,1,8
12,8,100,0.9875,6.3,11
12,8,100,1.525,10,14
12,8,100,0.45,2,11
12,8,100,0.2875,1.3,11
12,8,100,0.4,1,14
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0.375,1,11
12,8,100,0.4,2.3,11
12,8,100,0.4125,1.3,11
12,8,100,0.6,1.6,23
12,6,75,0.316667,1.6,11
12,8,100,0.325,1.6,11
12,8,100,0.1625,1,11
12,8,100,2.575,19.3,17
12,8,100,0.275,1,20
12,8,100,0.25,1,11
12,7,88,0.8,1.6,11
12,5,63,0.38,1.6,11
12,8,100,0.1625,1,8
12,8,100,0.0375,0.3,8
12,8,100,3.275,17.6,14
12,8,100,16.1125,74.3,14
12,8,100,0.125,1,11
12,8,100,0.65,3.3,17
12,8,100,4.65,19,17
12,8,100,0.0375,0.3,14
12,8,100,0.35,1,11
12,7,88,0.285714,1,11
12,8,100,0.375,1,11
12,8,100,6.15,30,17
12,8,100,0.7375,2.3,8
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0.125,1,11
12,8,100,0.075,0.3,5
12,8,100,0,0,2
12,8,100,0,0,2
12,6,75,4.816667,11.3,17
12,8,100,9.85,14.6,17
12,8,100,8.4375,9,8
12,8,100,8.0375,8.3,8
12,8,100,6.5,8,2
12,8,100,5,5,2
12,8,100,5.6625,10,17
12,8,100,5.075,5.6,8
12,8,100,5.325,6,14
12,8,100,5,5,2
12,8,100,5.25,6,14
12,8,100,5.15,5.6,11
12,8,100,8.7375,20.6,17
12,8,100,8.1125,28,17
12,8,100,8.6875,17.3,11
12,6,75,6.416667,8.6,8
12,8,100,5.8125,7.3,17
12,8,100,9.4,20.6,11
12,8,100,8.0625,13.6,14
12,8,100,10.15,31,14
12,8,100,5.325,6.3,17
12,7,88,6.528571,12.6,17
12,4,50,5.725,6.6,11
12,3,38,0,0,17
12,8,100,3.1625,12.3,11
12,8,100,2.575,14.3,11
12,8,100,4.225,17.6,11
12,8,100,0.575,3.3,8
12,8,100,3.4875,19,11
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0.125,1,23
12,8,100,0.4,1.6,2
12,8,100,0,0,2
12,8,100,0.1125,0.6,11
12,7,88,0,0,2
12,8,100,0.0375,0.3,8
12,8,100,0,0,2
12,8,100,0.0375,0.3,17
12,8,100,0.3625,2.3,14
12,8,100,0,0,2
12,8,100,0.7375,5.3,14
12,7,88,0,0,2
12,8,100,1.2375,9.6,17
12,8,100,0.45,2,14
12,8,100,2.5375,11,11
12,8,100,0,0,2
12,8,100,0.0375,0.3,14
12,8,100,0.1125,0.6,5
12,8,100,1.15,7,11
12,8,100,0.075,0.6,17
12,8,100,1.6375,6.6,11
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,1.2875,10,17
12,8,100,0,0,2
12,7,88,0,0,2
12,8,100,0.9875,6.6,14
12,8,100,0.075,0.3,20
12,8,100,0.15,0.3,2
12,8,100,0.45,3,5
12,8,100,0,0,2
12,8,100,0,0,2
12,8,100,0.0375,0.3,17
12,8,100,0.075,0.3,5
12,8,100,0.1625,1,17
12,8,100,0.3625,2.3,14
