State Code,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI
12,96,0.913043,3,23,4
12,96,1.434783,3,0,4
12,96,1.695652,3,1,4
12,96,1.391304,7,11,10
12,96,0.869565,1,0,1
12,96,0.304348,1,5,1
12,96,0.434783,1,0,1
12,96,0.478261,1,5,1
12,96,0.869565,1,0,1
12,96,0.782609,1,0,1
12,83,0.65,1,6,1
12,96,0.478261,1,0,1
12,96,0.391304,1,0,1
12,96,1.565217,3,10,4
12,96,1.782609,3,13,4
12,96,1.086957,2,0,3
12,96,0.73913,1,0,1
12,96,0.304348,1,0,1
12,96,0.434783,1,2,1
12,96,0.913043,1,1,1
12,96,0.913043,1,1,1
12,88,0.857143,1,0,1
12,96,0.347826,1,9,1
12,96,0.652174,1,8,1
12,96,1.130435,2,3,3
12,96,0.956522,1,0,1
12,96,1.130435,2,14,3
12,96,1.130435,2,8,3
12,96,1,1,0,1
12,88,1,1,0,1
12,96,1.043478,3,19,4
12,96,1.043478,2,23,3
12,96,1.73913,7,0,10
12,96,0.956522,1,0,1
12,96,1,1,0,1
12,96,0.956522,1,0,1
12,92,0.863636,1,0,1
12,96,0.869565,1,0,1
12,96,0.913043,1,0,1
12,96,1.347826,2,11,3
12,96,1.26087,3,10,4
12,96,1,1,0,1
12,96,1,1,0,1
12,88,0.333333,1,0,1
12,96,1.173913,3,23,4
12,92,1.454545,5,9,7
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1.173913,2,17,3
12,96,1.565217,6,1,9
12,96,1.043478,2,8,3
12,96,1.130435,5,9,7
12,88,1,1,0,1
12,96,0.913043,1,0,1
12,96,1,3,7,4
12,96,1.130435,3,14,4
12,96,1,1,0,1
12,96,1.130435,2,9,3
12,96,1.73913,2,3,3
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,88,1.047619,2,8,3
12,96,0.956522,1,0,1
12,96,1.130435,3,10,4
12,96,2.130435,6,15,9
12,96,1,1,0,1
12,96,0.826087,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,88,1.571429,3,3,4
12,96,2.043478,8,9,11
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,0.869565,1,0,1
12,88,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1.043478,2,12,3
12,96,1.130435,2,14,3
12,96,1.869565,3,2,4
12,96,1,1,0,1
12,96,1,1,0,1
12,88,0.952381,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,46,1,1,0,1
12,33,0.875,1,15,1
12,67,0.9375,1,0,1
12,46,0.727273,1,0,1
12,58,0.642857,1,5,1
12,71,1,1,0,1
12,33,1,1,0,1
12,88,1.619048,9,15,13
12,88,0.904762,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1.130435,2,12,3
12,96,1.130435,2,8,3
12,96,1,1,0,1
12,96,1,1,0,1
12,92,1,1,0,1
12,96,1,1,0,1
12,96,1.043478,2,16,3
12,96,1,1,0,1
12,96,1,1,0,1
12,96,0.956522,1,0,1
12,96,0.826087,1,0,1
12,88,0.809524,1,0,1
12,96,1,1,0,1
12,96,1.086957,2,3,3
12,96,2.043478,9,19,13
12,75,1.388889,3,2,4
12,96,1.130435,2,11,3
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1.173913,3,10,4
12,96,2.521739,7,2,10
12,96,1,1,0,1
12,92,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1.173913,2,6,3
12,96,1.26087,5,17,7
12,96,1.26087,2,1,3
12,96,1,1,0,1
12,96,1.130435,2,6,3
12,92,1,1,0,1
12,96,1.217391,2,7,3
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1.130435,2,17,3
12,88,1.047619,2,6,3
12,96,1,2,2,3
12,100,1,1,0,1
12,96,1.086957,2,10,3
12,96,1,1,0,1
12,96,1,1,0,1
12,88,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1.173913,2,8,3
12,96,1,1,0,1
12,96,1.217391,2,9,3
12,96,1.826087,6,10,9
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,4.26087,24,11,34
12,96,2.826087,16,15,23
12,96,1.217391,4,13,6
12,96,1.130435,2,9,3
12,96,1.304348,4,14,6
12,88,2.285714,16,12,23
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1.086957,2,8,3
12,96,1.173913,3,10,4
12,88,1.142857,2,12,3
12,96,1.173913,3,8,4
12,96,1.043478,2,9,3
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1.434783,5,13,7
12,88,0.952381,2,15,3
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,92,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1.217391,2,9,3
12,96,1,1,0,1
12,96,1.043478,2,10,3
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,88,1,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
12,96,1.043478,2,8,3
12,96,1.086957,2,9,3
12,92,1,1,0,1
12,96,0.956522,1,0,1
12,96,0.956522,1,0,1
12,96,1,1,0,1
12,96,1,1,0,1
